# Log started: 2023-01-02 00:59:49 +0100
[2023-01-02 00:59:49] ~↪ »RERUN« #FFFiesta Day 26 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 00:59:49] Joining #sevensins..
[2023-01-02 08:39:47] VIEWERS: 142
[2023-01-02 08:41:48] VIEWERS: 142
[2023-01-02 08:43:49] VIEWERS: 142
[2023-01-02 08:45:50] VIEWERS: 145
[2023-01-02 08:47:51] VIEWERS: 145
[2023-01-02 08:49:51] VIEWERS: 147
[2023-01-02 08:51:55] VIEWERS: 147
[2023-01-02 08:53:55] VIEWERS: 144
[2023-01-02 08:55:56] VIEWERS: 144
[2023-01-02 08:56:13] <zoetjhe> goodmorning chat
[2023-01-02 08:57:58] VIEWERS: 142
[2023-01-02 08:59:03] <~%SevenSins> morning
[2023-01-02 08:59:33] <%Lonefellow> Good mornin' o/
[2023-01-02 08:59:59] VIEWERS: 142
[2023-01-02 09:00:29] <%karimmarc317> morning
[2023-01-02 09:02:00] VIEWERS: 142
[2023-01-02 09:02:00] ~#FFFiesta Day 27 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 09:02:17] <ibtdark> !fiesta
[2023-01-02 09:02:17] <%+ericpgs2> sevenCup sevenCup sevenCup
[2023-01-02 09:02:18] <@%^GilgamEXP> Welcome to the Final Fantasy Fiesta! A race through the Final Fantasy series together with twitch.tv/bgg02 where we're not allowed to escape any battles or skip any cutscenes! Check out our site @ https://fffiesta.com & join our Discord @ https://www.fffiesta.com/discord !
[2023-01-02 09:02:32] <%Lonefellow> We do sevenCup
[2023-01-02 09:04:01] Viewerstats (08:35-09:04): avg:132 min:0 max:147 [15/127+8+7+0+0+3+0+2+0−3+0−2+0+0−142]
[2023-01-02 09:04:01] VIEWERS: 0
[2023-01-02 09:04:54] <!%Ensatzuken> LuvPeekR
[2023-01-02 09:06:02] VIEWERS: 93
[2023-01-02 09:06:23] <%TidusZecht> tiduszMLEM sevenWave whaddup everyone
[2023-01-02 09:06:43] <%TidusZecht> !treat
[2023-01-02 09:06:45] <@%Amalthes>* devours the treat HypeMine
[2023-01-02 09:06:50] <%TidusZecht> !quote
[2023-01-02 09:06:52] <@%Amalthes> [48] "Shit am I really that big?" -Seven 2015
[2023-01-02 09:06:59] <%TidusZecht> sevenLewd
[2023-01-02 09:08:02] VIEWERS: 93
[2023-01-02 09:10:05] VIEWERS: 94
[2023-01-02 09:11:37] <%Felknia_> Good morning !
[2023-01-02 09:12:05] VIEWERS: 94
[2023-01-02 09:12:30] <%$Xanster> Good Morning :D
[2023-01-02 09:12:41] <%+ericpgs2> sevenCup sevenCup sevenCup
[2023-01-02 09:14:06] VIEWERS: 107
[2023-01-02 09:15:29] <%straymuttstrut> sevenSip sevenSip sevenSip
[2023-01-02 09:16:06] VIEWERS: 107
[2023-01-02 09:17:06] <%Felknia_> Is 13 finishable today?
[2023-01-02 09:17:07] <Zanur> good morning chat
[2023-01-02 09:17:23] <~%SevenSins> @Felknia_ not even remotely
[2023-01-02 09:17:23] <%Lonefellow> @Felknia_ Morning! Not a chance
[2023-01-02 09:17:26] <~%SevenSins> morning
[2023-01-02 09:17:36] <@%+Mike410459> Morning Seven
[2023-01-02 09:17:46] <%+ReimHikari> i think today is not possible, tomorrow maybe?
[2023-01-02 09:17:50] <%Felknia_> @Felknia_ ok I don't know the game enough, good luck!
[2023-01-02 09:17:54] <%+ReimHikari> good morning everyone!
[2023-01-02 09:17:54] <%Lonefellow> I think we might get to Pulse today but not more than that
[2023-01-02 09:18:06] VIEWERS: 107
[2023-01-02 09:18:09] <%Lonefellow> Honk honk honk!
[2023-01-02 09:18:20] [Points] Felknia_ redeemed H0NK (5 000)
[2023-01-02 09:18:36] <%TidusZecht> YEY! seven's here!
[2023-01-02 09:18:51] <ravenreikei> KonCha
[2023-01-02 09:18:55] <%TidusZecht> and he didn't talk to us muted for 40 minutes today BggHaa
[2023-01-02 09:18:58] <%TidusZecht> bggHaa
[2023-01-02 09:19:06] <@%+Mike410459> At least you aren't muted today
[2023-01-02 09:19:07] <%Neobullseye> Totally intentional.
[2023-01-02 09:19:20] <%Neobullseye> Also, brb; listening to OST stuff.
[2023-01-02 09:19:24] <%Lonefellow> Kappa
[2023-01-02 09:19:38] <%Megalith> sevenWave
[2023-01-02 09:20:06] VIEWERS: 109
[2023-01-02 09:20:55] [Notification] YamiTheDark subscribed with Prime. They've subscribed for 44 months! [Hello Hello Hello]
[2023-01-02 09:21:37] <%TidusZecht> gg
[2023-01-02 09:21:41] <%Megalith> megali3GG
[2023-01-02 09:21:48] <%Lonefellow> Gg!
[2023-01-02 09:22:06] VIEWERS: 109
[2023-01-02 09:22:12] <@%Eymas> sevenWave
[2023-01-02 09:22:19] <%Lonefellow> Is weak mode the 122333 thing or is it something different?
[2023-01-02 09:22:53] <%Lonefellow> oh wow
[2023-01-02 09:23:04] <ravenreikei> welp
[2023-01-02 09:24:07] VIEWERS: 122
[2023-01-02 09:24:47] <skulgun> wait did you win
[2023-01-02 09:25:21] <%Nightscamp> comfy breakfast stream
[2023-01-02 09:26:08] VIEWERS: 122
[2023-01-02 09:26:40] <%YamiTheDark> Happy new year to you too seven ^^
[2023-01-02 09:26:52] <%Megalith> Good god. The visuals in FF13 blow my mind every single time. Especially knowing it came out on the PS3, 14 years ago. Like WTF
[2023-01-02 09:27:19] [Notification] XyFreak subscribed at Tier 1. They've subscribed for 62 months! [sevenHype]
[2023-01-02 09:27:25] <%Nightscamp> that reminds me of the original star wars trilogy where a lot of teh backgrounds are just paintings
[2023-01-02 09:27:25] <%Lonefellow> To speed up render time possibly
[2023-01-02 09:28:09] VIEWERS: 139
[2023-01-02 09:28:17] <%XyFreak> Zero is done and the (official) localization is good
