# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 07:11:48] Viewerstats (06:43-07:11): avg:89 min:87 max:96 [15/88+0+0+2+0+0+6+0−9+0+0+0+4+0+0]
[2023-01-03 07:11:48] VIEWERS: 91
[2023-01-03 07:13:48] VIEWERS: 91
[2023-01-03 07:15:48] VIEWERS: 94
[2023-01-03 07:17:48] VIEWERS: 94
[2023-01-03 07:19:48] VIEWERS: 95
[2023-01-03 07:21:48] VIEWERS: 95
[2023-01-03 07:23:48] VIEWERS: 89
[2023-01-03 07:25:48] VIEWERS: 91
[2023-01-03 07:27:48] VIEWERS: 91
[2023-01-03 07:29:48] VIEWERS: 96
[2023-01-03 07:31:48] VIEWERS: 96
[2023-01-03 07:33:48] VIEWERS: 96
[2023-01-03 07:35:48] VIEWERS: 96
[2023-01-03 07:37:48] VIEWERS: 95
[2023-01-03 07:39:48] VIEWERS: 95
[2023-01-03 07:41:48] Viewerstats (07:13-07:41): avg:93 min:89 max:96 [15/91+3+0+1+0−6+2+0+5+0+0+0−1+0+0]
[2023-01-03 07:41:48] VIEWERS: 95
[2023-01-03 07:43:48] VIEWERS: 96
[2023-01-03 07:45:48] VIEWERS: 96
[2023-01-03 07:47:48] VIEWERS: 96
[2023-01-03 07:49:48] VIEWERS: 96
[2023-01-03 07:51:48] VIEWERS: 96
[2023-01-03 07:53:48] VIEWERS: 97
[2023-01-03 07:55:48] VIEWERS: 97
[2023-01-03 07:57:48] VIEWERS: 94
[2023-01-03 07:59:48] VIEWERS: 94
[2023-01-03 08:01:48] VIEWERS: 99
[2023-01-03 08:03:48] VIEWERS: 99
[2023-01-03 08:05:49] VIEWERS: 99
[2023-01-03 08:07:49] VIEWERS: 100
[2023-01-03 08:09:52] VIEWERS: 100
[2023-01-03 08:11:52] Viewerstats (07:43-08:11): avg:97 min:94 max:105 [15/96+0+0+0+0+1+0−3+0+5+0+0+1+0+5]
[2023-01-03 08:11:52] VIEWERS: 105
[2023-01-03 08:13:54] VIEWERS: 105
[2023-01-03 08:15:54] VIEWERS: 105
[2023-01-03 08:17:54] VIEWERS: 108
[2023-01-03 08:19:54] VIEWERS: 108
[2023-01-03 08:21:54] VIEWERS: 110
[2023-01-03 08:23:54] VIEWERS: 110
[2023-01-03 08:25:54] VIEWERS: 110
[2023-01-03 08:27:54] VIEWERS: 104
[2023-01-03 08:29:54] VIEWERS: 104
[2023-01-03 08:31:54] VIEWERS: 111
[2023-01-03 08:33:54] VIEWERS: 111
[2023-01-03 08:35:54] VIEWERS: 111
[2023-01-03 08:37:54] VIEWERS: 118
[2023-01-03 08:39:45] <+Satorius123> boss time braryBrows braryBrows
[2023-01-03 08:39:54] VIEWERS: 118
[2023-01-03 08:41:54] Viewerstats (08:13-08:41): avg:110 min:104 max:121 [15/105+0+3+0+2+0+0−6+0+7+0+0+7+0+3]
[2023-01-03 08:41:54] VIEWERS: 121
[2023-01-03 08:42:38] <+Satorius123> socabeYeet socabeYeet
[2023-01-03 08:42:45] <@%XyPara> WE HAVE BEEN LI8T MrDestructoid
[2023-01-03 08:43:54] VIEWERS: 121
[2023-01-03 08:44:44] <+Satorius123> this is a restream right?
[2023-01-03 08:44:48] <%+Niknar84> yes
[2023-01-03 08:45:04] <%+Niknar84> Para you certainly have
[2023-01-03 08:45:08] <%+Niknar84> !quote para
[2023-01-03 08:45:09] <Kuroh> he should be live in about 15 minutes tho
[2023-01-03 08:45:09] <@%Amalthes> [451] "FF12REMASTEREDREMAKEZODIACAGE GODGAMEBGMGRAPHICSTORYFMV HYPE LUL MrDestructoid " -XyPara, 2020
[2023-01-03 08:45:23] <+Satorius123> thats why he dont notice ma follow KEKW
[2023-01-03 08:45:54] VIEWERS: 129
[2023-01-03 08:46:20] <%+Niknar84> He still may notice when he check notifactions
[2023-01-03 08:46:20] <%TidusZecht> !quote
[2023-01-03 08:46:21] <@%Amalthes> [375] "look at all these fucks in chat!" -- SevenSins 2018
[2023-01-03 08:46:25] <%+Niknar84> notifacations
[2023-01-03 08:46:29] <%+Niknar84> lol
[2023-01-03 08:46:33] <%+Niknar84> nice random quote
[2023-01-03 08:47:19] <%+Niknar84> !modulate fucks
[2023-01-03 08:47:19] <@%XyPara>* MoDuLaTiNg FuCkS [ sevenBonk ]-[ sevenCorn ]-[ sevenLUL ]
[2023-01-03 08:47:47] <%+Niknar84> exactly para
[2023-01-03 08:47:54] VIEWERS: 129
[2023-01-03 08:48:31] <+Satorius123> !quote
[2023-01-03 08:48:33] <@%Amalthes> [163] "It's like blow blow suck blow suck." -Seven 2016
[2023-01-03 08:49:56] VIEWERS: 137
[2023-01-03 08:50:03] <%uzumakimateto> sevenClod
[2023-01-03 08:51:15] <~%SevenSins> morning
[2023-01-03 08:51:57] VIEWERS: 137
[2023-01-03 08:51:57] <%+ericpgs2> morning seven
[2023-01-03 08:52:37] <%+Niknar84> !quote para
[2023-01-03 08:52:38] <@%Amalthes> [406] "maybe i get killed by cocks MrDestructoid " -XyPara 2019
[2023-01-03 08:53:59] VIEWERS: 137
[2023-01-03 08:54:42] <Kuroh> finameWave
[2023-01-03 08:55:59] VIEWERS: 132
[2023-01-03 08:56:02] <!%Ensatzuken> Morning
[2023-01-03 08:56:08] <~%SevenSins> finame7
[2023-01-03 08:56:58] <~%SevenSins> got caughts with my pants down yesterday, skipping battles
[2023-01-03 08:57:08] <~%SevenSins> (I forgot our rule if you get caught you go back until you win) RIP 4Head
[2023-01-03 08:57:32] <%uzumakimateto> morning!
[2023-01-03 08:57:55] <%+ericpgs2> ooofffff
[2023-01-03 08:57:59] VIEWERS: 138
[2023-01-03 08:58:05] <+Satorius123> Damn
[2023-01-03 08:58:20] <~%SevenSins> it was only 3 or 4 fights but yeah, complteley forgot about it
[2023-01-03 08:58:40] <+Satorius123> Could be worst
[2023-01-03 08:58:45] <%uzumakimateto> sevenAyaya
[2023-01-03 09:00:00] VIEWERS: 138
[2023-01-03 09:00:46] <%TidusZecht> welp
[2023-01-03 09:01:39] <%ooKaballoo> Waiting
[2023-01-03 09:01:42] <Kuroh> I'm pretty sure BGG won't mind if you do 4 extra battle today sevenSip , he also have a bad memory after all finameLUL
[2023-01-03 09:01:47] <%TidusZecht> just had breakfast again bggHaa
[2023-01-03 09:02:03] VIEWERS: 138
[2023-01-03 09:02:15] <%+Niknar84> sevenMAI
[2023-01-03 09:02:25] ~Stream offline~
[2023-01-03 09:02:35] <+Satorius123> braryHeh
[2023-01-03 09:02:38] <~%SevenSins> @Kuroh basically bgg said: i don't care
[2023-01-03 09:02:39] <%uzumakimateto> this must be the first time in quite a few years ive managed to land at the start of Sevens stream - nz life ;(
[2023-01-03 09:03:09] <+Satorius123> Life goal Kappa
[2023-01-03 09:03:14] <%uzumakimateto> punching!
[2023-01-03 09:04:03] VIEWERS: 85
[2023-01-03 09:04:03] ~#FFFiesta Day 28 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-03 09:04:04] <@%+Mike410459> Morning Seven, Sinners
[2023-01-03 09:04:16] <%TidusZecht> tiduszMLEM sevenWave whaddup everyone!
[2023-01-03 09:04:59] <+Satorius123> Still awake LUL
[2023-01-03 09:04:59] <%+ericpgs2> sevenCup sevenCup sevenCup
[2023-01-03 09:04:59] <%uzumakimateto> sevenAyaya sevenMAI
